  V_V1                 , V(D1:1)              , V(V1:+)              
  -2.650000000000e+000  ,-2.649994427702e+000  ,-2.650000000000e+000  
  -2.640000000000e+000  ,-2.639994430762e+000  ,-2.640000000000e+000  
  -2.630000000000e+000  ,-2.629994433829e+000  ,-2.630000000000e+000  
  -2.620000000000e+000  ,-2.619994436904e+000  ,-2.620000000000e+000  
  -2.610000000000e+000  ,-2.609994439985e+000  ,-2.610000000000e+000  
  -2.600000000000e+000  ,-2.599994443072e+000  ,-2.600000000000e+000  
  -2.590000000000e+000  ,-2.589994446165e+000  ,-2.590000000000e+000  
  -2.580000000000e+000  ,-2.579994449267e+000  ,-2.580000000000e+000  
  -2.570000000000e+000  ,-2.569994452373e+000  ,-2.570000000000e+000  
  -2.560000000000e+000  ,-2.559994455488e+000  ,-2.560000000000e+000  
  -2.550000000000e+000  ,-2.549994458608e+000  ,-2.550000000000e+000  
  -2.540000000000e+000  ,-2.539994461737e+000  ,-2.540000000000e+000  
  -2.530000000000e+000  ,-2.529994464871e+000  ,-2.530000000000e+000  
  -2.520000000000e+000  ,-2.519994468013e+000  ,-2.520000000000e+000  
  -2.510000000000e+000  ,-2.509994471161e+000  ,-2.510000000000e+000  
  -2.500000000000e+000  ,-2.499994474317e+000  ,-2.500000000000e+000  
  -2.490000000000e+000  ,-2.489994477479e+000  ,-2.490000000000e+000  
  -2.480000000000e+000  ,-2.479994480649e+000  ,-2.480000000000e+000  
  -2.470000000000e+000  ,-2.469994483826e+000  ,-2.470000000000e+000  
  -2.460000000000e+000  ,-2.459994487009e+000  ,-2.460000000000e+000  
  -2.450000000000e+000  ,-2.449994490200e+000  ,-2.450000000000e+000  
  -2.440000000000e+000  ,-2.439994493398e+000  ,-2.440000000000e+000  
  -2.430000000000e+000  ,-2.429994496603e+000  ,-2.430000000000e+000  
  -2.420000000000e+000  ,-2.419994499816e+000  ,-2.420000000000e+000  
  -2.410000000000e+000  ,-2.409994503035e+000  ,-2.410000000000e+000  
  -2.400000000000e+000  ,-2.399994506264e+000  ,-2.400000000000e+000  
  -2.390000000000e+000  ,-2.389994509498e+000  ,-2.390000000000e+000  
  -2.380000000000e+000  ,-2.379994512740e+000  ,-2.380000000000e+000  
  -2.370000000000e+000  ,-2.369994515990e+000  ,-2.370000000000e+000  
  -2.360000000000e+000  ,-2.359994519248e+000  ,-2.360000000000e+000  
  -2.350000000000e+000  ,-2.349994522513e+000  ,-2.350000000000e+000  
  -2.340000000000e+000  ,-2.339994525785e+000  ,-2.340000000000e+000  
