  Frequency            , V(C1:2)              
  1.230268770812e+006  ,1.376233932373e-003  
  1.258925411794e+006  ,1.344907025750e-003  
  1.288249551693e+006  ,1.314293206428e-003  
  1.318256738556e+006  ,1.284376242567e-003  
  1.348962882592e+006  ,1.255140271812e-003  
  1.380384264603e+006  ,1.226569792875e-003  
  1.412537544623e+006  ,1.198649657320e-003  
  1.445439770746e+006  ,1.171365061534e-003  
  1.479108388168e+006  ,1.144701538872e-003  
  1.513561248436e+006  ,1.118644951991e-003  
  1.548816618912e+006  ,1.093181485351e-003  
  1.584893192461e+006  ,1.068297637894e-003  
  1.621810097359e+006  ,1.043980215882e-003  
  1.659586907438e+006  ,1.020216325902e-003  
  1.698243652462e+006  ,9.969933680325e-004  
  1.737800828749e+006  ,9.742990291592e-004  
  1.778279410039e+006  ,9.521212764490e-004  
  1.819700858610e+006  ,9.304483509692e-004  
  1.862087136663e+006  ,9.092687614526e-004  
  1.905460717963e+006  ,8.885712782052e-004  
  1.949844599758e+006  ,8.683449271515e-004  
  1.995262314969e+006  ,8.485789840166e-004  
  2.041737944669e+006  ,8.292629686394e-004  
  2.089296130854e+006  ,8.103866394164e-004  
  2.137962089502e+006  ,7.919399878711e-004  
  2.187761623950e+006  ,7.739132333479e-004  
  2.238721138568e+006  ,7.562968178255e-004  
  2.290867652768e+006  ,7.390814008501e-004  
  2.344228815320e+006  ,7.222578545820e-004  
  2.398832919019e+006  ,7.058172589567e-004  
  2.454708915685e+006  ,6.897508969548e-004  
  2.511886431510e+006  ,6.740502499805e-004  
  2.570395782769e+006  ,6.587069933449e-004  
  2.630267991895e+006  ,6.437129918520e-004  
  2.691534803927e+006  ,6.290602954852e-004  
  2.754228703338e+006  ,6.147411351926e-004  
  2.818382931264e+006  ,6.007479187672e-004  
  2.884031503127e+006  ,5.870732268217e-004  
  2.951209226666e+006  ,5.737098088548e-004  
  3.019951720402e+006  ,5.606505794065e-004  
  3.090295432514e+006  ,5.478886143015e-004  
  3.162277660168e+006  ,5.354171469780e-004  
  3.235936569296e+006  ,5.232295648999e-004  
  3.311311214826e+006  ,5.113194060507e-004  
  3.388441561392e+006  ,4.996803555073e-004  
  3.467368504525e+006  ,4.883062420919e-004  
  3.548133892336e+006  ,4.771910350997e-004  
  3.630780547701e+006  ,4.663288411015e-004  
  3.715352290972e+006  ,4.557139008187e-004  
  3.801893963206e+006  ,4.453405860703e-004  
  3.890451449943e+006  ,4.352033967879e-004  
  3.981071705535e+006  ,4.252969581000e-004  
  4.073802778041e+006  ,4.156160174823e-004  
  4.168693834703e+006  ,4.061554419722e-004  
